Familia,Genero,Especie,id,Longitud de onda,Intensidad miníma,Intensidad media,Intensidad máxima,Tonos principales,Melodía,Centroide espectral,Rolloff espectral,Contraste espectral,Ancho de banda espectral,Croma,Tempo,Pulso,Coeficientes MFCC,RMS,Cens,Piptrack,Cruces por cero,Cromagrama CQT,Cromagrama CENS,Melspectrogram,Polynomial coefficients,Fourier tempogram,Ceros Cruzados,Perceptrual Sharpness,Loudness,Tonnetz,Contraste,Rolloff,Centroide,Bandwidth
Cotingidae,,,_11671,691200,7.6595796e-05,0.04371921,0.24034502,1025,2.5888614907979454e-05,3489.7721460892726,6289.671713082902,20.702543975494365,2637.677871712598,0.48680672,117.45383522727273,0.218374385980371,-1.2589883,0.04371921,0.28300813,0.080349,0.240183414484641,0.70384216,0.28300813,0.45615724,0.6366277364140736,(0.5057130455970764-0.004495495464652777j),0.240183414484641,0.071802326,59.06465,2.5888614907979454e-05,20.702543975494365,6289.671713082902,3489.7721460892726,2637.677871712598
Cotingidae,,,_119129,414720,0.009267639,0.023691619,0.10724209,1025,0.0028981643519899254,3853.8901995242277,7265.90279650894,23.154785947575284,3237.5562169229383,0.667983,123.046875,0.2739515317507082,-6.7850146,0.023691619,0.22777902,1.2831359e-05,0.11938265836929716,0.4466155,0.22777902,0.12049758,0.11941326654360217,(0.4623240530490875-0.002888350049033761j),0.11938265836929716,0.0024556692,19.213903,0.0028981643519899254,23.154785947575284,7265.90279650894,3853.8901995242277,3237.5562169229383
Cotingidae,,,_11981,578304,1.8536997e-05,0.0131015,0.05227723,1025,6.097355191709271e-05,4401.275492599814,6193.711456028761,20.56326107781871,2302.2157568013017,0.3344509,123.046875,0.2647952362020064,-11.707394,0.0131015,0.2844043,0.010465172,0.43800383711283186,0.7422618,0.2844043,0.016280971,0.15220837572724993,(0.5105611085891724-0.004655345808714628j),0.43800383711283186,0.041346032,14.804695,6.097355191709271e-05,20.56326107781871,6193.711456028761,4401.275492599814,2302.2157568013017
Cotingidae,,,_12914,1327680,0.0,0.04055059,0.054832213,1025,-0.00932053918381995,2641.7267436507855,5684.508289110689,23.555086508586204,3003.9870896293346,0.5569577,117.45383522727273,0.2486306508048707,-9.260798,0.04055059,0.27911666,0.00020960698,0.0011821149768696992,0.686702,0.27911666,0.06087554,0.20435515081324354,(0.4790150225162506-0.006242254748940468j),0.0011821149768696992,0.032159567,105.18823,-0.00932053918381995,23.555086508586204,5684.508289110689,2641.7267436507855,3003.9870896293346
Cotingidae,,,_170053,301824,0.0003053186,0.14471573,0.45536095,1025,-0.003883049661857965,1975.1395055237076,5988.5662738347455,22.243991662269778,2775.605446820114,0.7434848,103.359375,0.2336740754938028,4.2636986,0.14471573,0.26713115,0.005804893,0.05171974311440678,0.61526203,0.26713115,4.645258,0.9780266267286344,(0.5235628485679626-0.002500971546396613j),0.05171974311440678,0.0013367363,85.38228,-0.003883049661857965,22.243991662269778,5988.5662738347455,1975.1395055237076,2775.605446820114
Cotingidae,,,_171027,817614,0.0031508235,0.009296215,0.044110145,1025,0.0010671327968245926,2522.176967774669,5940.656125254383,18.610788123188804,2673.3173832254333,0.69010913,123.046875,0.2747810217637809,-7.420622,0.009296215,0.28029096,0.012610178,0.11973010918910457,0.69901377,0.28029096,0.020545911,0.14314843365259794,(0.44415801763534546-0.0028008429799228907j),0.11973010918910457,0.036491875,14.846056,0.0010671327968245926,18.610788123188804,5940.656125254383,2522.176967774669,2673.3173832254333
Cotingidae,,,_189674,861538,0.077958666,0.21183202,0.747549,1025,0.002256875667299471,4145.697621119563,7693.290180063503,23.79021507588515,3253.92720386099,0.5367123,129.19921875,0.2639999292227297,3.2115314,0.21183202,0.23494348,0.00010610053,0.16044202363710636,0.46891427,0.23494348,9.004413,1.0376973386843795,(0.4777716398239136-0.0017031802562996745j),0.16044202363710636,0.0017904675,356.51328,0.002256875667299471,23.79021507588515,7693.290180063503,4145.697621119563,3253.92720386099
Cotingidae,,,_200337,113472,0.0010224588,0.015649216,0.11464054,1025,0.008073866662681747,4412.266668682219,6908.229848500845,20.68435694862105,2677.0674115333204,0.4842856,103.359375,0.11959174870735015,-15.634474,0.015649216,0.28523093,0.028517917,0.42483987894144143,0.7186199,0.28523093,0.071774155,0.20452596340929388,(0.39060598611831665-0.013403504155576229j),0.42483987894144143,0.06653073,3.474126,0.008073866662681747,20.68435694862105,6908.229848500845,4412.266668682219,2677.0674115333204
Cotingidae,,,_20051,1384704,4.1136555e-06,0.029728072,0.26671407,1025,0.010305195653058586,3563.688588280797,5938.578803719963,20.810119943128843,2182.3077791430055,0.47111374,117.45383522727273,0.2650834964607461,-9.2007675,0.029728072,0.2792869,0.08211738,0.31435727385628465,0.6589222,0.2792869,0.21138181,0.4617476682309224,(0.47611966729164124-0.001959153451025486j),0.31435727385628465,0.05610311,80.41444,0.010305195653058586,20.810119943128843,5938.578803719963,3563.688588280797,2182.3077791430055
Cotingidae,,,_262975,516096,3.8236408e-08,0.023201006,0.14761013,1025,0.001098551567129566,2435.0878811384296,4466.752474797138,21.217829376667247,2281.2390030337474,0.46835834,123.046875,0.28294925265914495,-16.532808,0.023201006,0.28275844,0.070317484,0.14015220437933598,0.65242165,0.28275844,0.15644996,0.37387923875578005,(0.47840583324432373-0.004061777610331774j),0.14015220437933598,0.026009958,23.409815,0.001098551567129566,21.217829376667247,4466.752474797138,2435.0878811384296,2281.2390030337474
Cotingidae,,,_262976,320832,3.0562518e-07,0.018542835,0.12909669,1025,0.0007834697306672843,3013.5835364348436,6151.421389055024,20.78876271815313,2636.470536248118,0.50210345,117.45383522727273,0.24396987764630576,-13.055673,0.018542835,0.28036845,0.056032464,0.18748442484051037,0.6671083,0.28036845,0.10780859,0.30792432666893105,(0.4666861891746521-0.009322239086031914j),0.18748442484051037,0.06699376,11.626358,0.0007834697306672843,20.78876271815313,6151.421389055024,3013.5835364348436,2636.470536248118
Cotingidae,,,_264757,335232,3.534921e-06,0.032696526,0.25454944,1025,0.002636235120946964,2530.8315417684785,5542.3341707418895,18.894557896809506,2479.4875938221685,0.573081,123.046875,0.23747074813185134,-7.7432027,0.032696526,0.2866962,0.11025726,0.14359270634541985,0.73660594,0.2866962,0.36607218,0.6041050942961688,(0.4540551006793976-0.006792161613702774j),0.14359270634541985,0.050889738,21.416225,0.002636235120946964,18.894557896809506,5542.3341707418895,2530.8315417684785,2479.4875938221685
Cotingidae,,,_271008,317376,2.5263607e-06,0.023132984,0.10228968,1025,-0.0030279986315029338,2840.561738418656,5019.372282951109,20.478810958266827,2014.0374617078653,0.33342513,129.19921875,0.2513974771542697,-13.911941,0.023132984,0.27074966,0.046741627,0.20991053427419354,0.5480267,0.27074966,0.12853551,0.2771443002114829,(0.44330736994743347-0.008150092326104641j),0.20991053427419354,0.03646562,14.34245,-0.0030279986315029338,20.478810958266827,5019.372282951109,2840.561738418656,2014.0374617078653
Cotingidae,,,_271009,167040,6.2642954e-07,0.010333159,0.08323096,1025,0.006501540083293258,2256.970807240908,3138.513743549312,19.636215742469663,1603.8159020877015,0.48134777,135.99917763157896,0.2118831697152351,-18.823895,0.010333159,0.2831245,0.031140715,0.16274847094801223,0.6453997,0.2831245,0.040556755,0.1486201634101026,(0.39683935046195984-0.011543529108166695j),0.16274847094801223,0.016705224,3.378943,0.006501540083293258,19.636215742469663,3138.513743549312,2256.970807240908,1603.8159020877015
Cotingidae,,,_272248,611712,9.649758e-08,0.0077808937,0.084122464,1025,0.0011429550720732568,2498.827957370073,4755.864686846235,20.589471090447883,2100.8033720843173,0.42308825,129.19921875,0.22320395960897008,-24.396677,0.0077808937,0.2809055,0.020556768,0.15432261702405858,0.60464704,0.2809055,0.017274009,0.12133093354443233,(0.4880407452583313-0.0037374007515609264j),0.15432261702405858,0.029832222,9.298168,0.0011429550720732568,20.589471090447883,4755.864686846235,2498.827957370073,2100.8033720843173
Cotingidae,,,_272249,482688,5.3067185e-07,0.0042788554,0.15011923,1025,0.00609913979445868,3174.6619270792103,5582.716966711957,19.74569047267475,2200.5861380591036,0.48791224,129.19921875,0.21029471249645987,-29.222328,0.0042788554,0.27965465,0.009285111,0.22433597892364793,0.62115705,0.27965465,0.023099184,0.05130312744871328,(0.47049519419670105+0.0013528045965358615j),0.22433597892364793,0.07874997,4.0349607,0.00609913979445868,19.74569047267475,5582.716966711957,3174.6619270792103,2200.5861380591036
Cotingidae,,,_27597,240768,0.009033081,0.0165269,0.057210427,1025,-0.0026282692933768904,3367.318862712684,7017.584034136146,18.001554630031816,2934.276830644493,0.6218277,123.046875,0.2528619788218432,-8.035954,0.0165269,0.2827281,0.051885836,0.2046199077760085,0.7024472,0.2827281,0.054866612,0.2965981423340509,(0.41377583146095276-0.005722740199416876j),0.2046199077760085,0.11767288,7.7841697,-0.0026282692933768904,18.001554630031816,7017.584034136146,3367.318862712684,2934.276830644493
