Family,Genus,Species,Comun Name,Number of recordings
Icteridae,Icterus,Icterus icterus,VenezuelanTroupial,41
Thraupidae,Tangara,Tangara nigroviridis,Beryl-spangledTanager,41
Tyrannidae,Elaenia,Elaenia martinica,CaribbeanElaenia,41
Tyrannidae,Uromyias,Uromyias agilis,AgileTit-Tyrant,41
Turdidae,Cichlopsis,Cichlopsis leucogenys,Rufous-brownSolitaire,41
Thamnophilidae,Gymnocichla,Gymnocichla nudiceps,Bare-crownedAntbird,41
Furnariidae,Synallaxis,Synallaxis candei,White-whiskeredSpinetail,41
Furnariidae,Lepidocolaptes,Lepidocolaptes duidae,DuidaWoodcreeper,41
Hirundinidae,Orochelidon,Orochelidon murina,Brown-belliedSwallow,41
Passerellidae,Atlapetes,Atlapetes albofrenatus,MoustachedBrushfinch,41
Onychorhynchidae,Onychorhynchus,Onychorhynchus coronatus,AmazonianRoyalFlycatcher,42
Tyrannidae,Myiopagis,Myiopagis olallai,FoothillElaenia,42
Thraupidae,Hemithraupis,Hemithraupis flavicollis,Yellow-backedTanager,42
Thraupidae,Catamblyrhynchus,Catamblyrhynchus diadema,Plushcap,42
Thraupidae,Tangara,Tangara vassorii,Blue-and-blackTanager,42
Thamnophilidae,Myrmelastes,Myrmelastes schistaceus,Slate-coloredAntbird,42
Cotingidae,Pipreola,Pipreola aureopectus,Golden-breastedFruiteater,42
Fringilidae,Euphonia,Euphonia plumbea,PlumbeousEuphonia,42
Tityridae,Pachyramphus,Pachyramphus rufus,CinereousBecard,42
Thamnophilidae,Gymnopithys,Gymnopithys rufigula,Rufous-throatedAntbird,43
Thraupidae,Tangara,Tangara mexicana,TurquoiseTanager,43
Rhinocryptidae,Scytalopus,Scytalopus rodriguezi,MagdalenaTapaculo,43
Hirundinidae,Orochelidon,Orochelidon flavipes,Pale-footedSwallow,43
Thraupidae,Stilpnia,Stilpnia nigrocincta,MaskedTanager,43
Thamnophilidae,Sipia,Sipia berlepschi,Stub-tailedAntbird,43
Tyrannidae,Elaenia,Elaenia brachyptera,Coopmans'sElaenia,43
Thamnophilidae,Neoctantes,Neoctantes niger,BlackBushbird,43
Furnariidae,Synallaxis,Synallaxis subpudica,Silvery-throatedSpinetail,44
Passerellidae,Oreothraupis,Oreothraupis arremonops,TanagerFinch,44
Cotingidae,Pyroderus,Pyroderus scutatus,Red-ruffedFruitcrow,44
Thraupidae,Diglossa,Diglossa sittoides,RustyFlowerpiercer,44
Formicariidae,Chamaeza,Chamaeza nobilis,StriatedAntthrush,44
Thamnophilidae,Myrmotherula,Myrmotherula longicauda,Stripe-chestedAntwren,44
Tityridae,Pachyramphus,Pachyramphus minor,Pink-throatedBecard,45
Furnariidae,Asthenes,Asthenes wyatti,Streak-backedCanastero,45
Thamnophilidae,Sipia,Sipia laemosticta,Dull-mantledAntbird,45
Furnariidae,Synallaxis,Synallaxis fuscorufa,Rusty-headedSpinetail,45
Tyrannidae,Attila,Attila torridus,OchraceousAttila,45
Cotingidae,Ampelioides,Ampelioides tschudii,ScaledFruiteater,45
Vireonidae,Pachysylvia,Pachysylvia aurantiifrons,Golden-frontedGreenlet,45
Passerellidae,Chlorospingus,Chlorospingus canigularis,Ashy-throatedBushTanager,45
Thraupidae,Catamenia,Catamenia inornata,Plain-coloredSeedeater,46
Thraupidae,Sporophila,Sporophila castaneiventris,Chestnut-belliedSeedeater,46
Thamnophilidae,Myrmornis,Myrmornis torquata,Wing-bandedAntbird,46
Tyrannidae,Myiopagis,Myiopagis flavivertex,Yellow-crownedElaenia,46
Tyrannidae,Lathrotriccus,Lathrotriccus griseipectus,Grey-breastedFlycatcher,46
Grallaridae,Grallaria,Grallaria milleri,Brown-bandedAntpitta,46
Thraupidae,Sporophila,Sporophila funerea,Thick-billedSeedFinch,47
Tyrannidae,Mionectes,Mionectes olivaceus,Olive-stripedFlycatcher,47
Tyrannidae,Mecocerculus,Mecocerculus poecilocercus,White-tailedTyrannulet,47
Furnariidae,Xiphorhynchus,Xiphorhynchus triangularis,Olive-backedWoodcreeper,47
Tityridae,Pachyramphus,Pachyramphus albogriseus,Black-and-whiteBecard,47
Tyrannidae,Todirostrum,Todirostrum pictum,PaintedTody-Flycatcher,47
Hirundinidae,Tachycineta,Tachycineta albiventer,White-wingedSwallow,47
Thamnophilidae,Epinecrophylla,Epinecrophylla spodionota,FoothillStipplethroat,47
Vireonidae,Hylophilus,Hylophilus olivaceus,OlivaceousGreenlet,47
Passerellidae,Arremon,Arremon atricapillus,Black-headedBrushfinch,47
Tyrannidae,Conopias,Conopias cinchoneti,Lemon-browedFlycatcher,48
Cotingidae,Xipholena,Xipholena punicea,PompadourCotinga,48
Tyrannidae,Phylloscartes,Phylloscartes gualaquizae,EcuadorianTyrannulet,48
Tyrannidae,Ochthoeca,Ochthoeca fumicolor,Brown-backedChat-Tyrant,48
Rhinocryptidae,Scytalopus,Scytalopus alvarezlopezi,TatamaTapaculo,48
Furnariidae,Thripadectes,Thripadectes flammulatus,FlammulatedTreehunter,49
Passerellidae,Atlapetes,Atlapetes flaviceps,Yellow-headedBrushfinch,49
Thraupidae,Diglossa,Diglossa humeralis,BlackFlowerpiercer,49
Rhinocryptidae,Scytalopus,Scytalopus latebricola,Brown-rumpedTapaculo,49
Tyrannidae,Neopipo,Neopipo cinnamomea,CinnamonNeopipo,49
Tyrannidae,Phyllomyias,Phyllomyias nigrocapillus,Black-cappedTyrannulet,50
Grallaridae,Grallaricula,Grallaricula flavirostris,Ochre-breastedAntpitta,50
Tyrannidae,Ochthoeca,Ochthoeca rufipectoralis,Rufous-breastedChat-Tyrant,50
Furnariidae,Sclerurus,Sclerurus guatemalensis,Scaly-throatedLeaftosser,50
Thamnophilidae,Hypocnemis,Hypocnemis flavescens,ImeriWarblingAntbird,50
Thraupidae,Conirostrum,Conirostrum sitticolor,Blue-backedConebill,51
Thraupidae,Conirostrum,Conirostrum bicolor,BicoloredConebill,51
Thraupidae,Schistochlamys,Schistochlamys melanopis,Black-facedTanager,51
Fringilidae,Spinus,Spinus xanthogastrus,Yellow-belliedSiskin,51
Tyrannidae,Rhytipterna,Rhytipterna holerythra,RufousMourner,51
Formicariidae,Chamaeza,Chamaeza mollissima,BarredAntthrush,51
Furnariidae,Synallaxis,Synallaxis cherriei,Chestnut-throatedSpinetail,51
Rhinocryptidae,Scytalopus,Scytalopus stilesi,Stiles'sTapaculo,51
Thraupidae,Sporophila,Sporophila plumbea,PlumbeousSeedeater,51
Conopophagidae,Conopophaga,Conopophaga castaneiceps,Chestnut-crownedGnateater,51
Thamnophilidae,Herpsilochmus,Herpsilochmus axillaris,Yellow-breastedAntwren,52
Thamnophilidae,Thamnophilus,Thamnophilus nigrocinereus,Blackish-greyAntshrike,52
Tyrannidae,Myiophobus,Myiophobus cryptoxanthus,Olive-chestedFlycatcher,52
Furnariidae,Pseudocolaptes,Pseudocolaptes boissonneautii,StreakedTuftedcheek,52
Thamnophilidae,Megastictus,Megastictus margaritatus,PearlyAntshrike,52
Cotingidae,Rupicola,Rupicola rupicola,GuiananCock-of-the-rock,52
Furnariidae,Mazaria,Mazaria propinqua,White-belliedSpinetail,52
Tyrannidae,Ornithion,Ornithion brunneicapillus,Brown-cappedTyrannulet,53
Thraupidae,Tangara,Tangara velia,Opal-rumpedTanager,53
Pipridae,Lepidothrix,Lepidothrix isidorei,Blue-rumpedManakin,53
Fringilidae,Euphonia,Euphonia minuta,White-ventedEuphonia,53
Tyrannidae,Contopus,Contopus nigrescens,BlackishPewee,53
Thraupidae,Diglossa,Diglossa indigotica,IndigoFlowerpiercer,53
Thamnophilidae,Myrmotherula,Myrmotherula cherriei,Cherrie'sAntwren,53
Thamnophilidae,Dysithamnus,Dysithamnus occidentalis,BicoloredAntvireo,53
Troglodytidae,Cantorchilus,Cantorchilus leucopogon,Stripe-throatedWren,53
Furnariidae,Philydor,Philydor erythrocercum,Rufous-rumpedFoliage-gleaner,53
Grallaridae,Grallaria,Grallaria alleni,MoustachedAntpitta,53
Furnariidae,Anabazenops,Anabazenops dorsalis,BambooFoliage-gleaner,53
Thamnophilidae,Sipia,Sipia palliata,MagdalenaAntbird,54
Grallaridae,Grallaria,Grallaria rufocinerea,BicoloredAntpitta,54
Thraupidae,Geospizopsis,Geospizopsis unicolor,PlumbeousSierraFinch,54
Thamnophilidae,Pithys,Pithys albifrons,White-plumedAntbird,54
Vireonidae,Vireo,Vireo masteri,ChocoVireo,54
Furnariidae,Xiphorhynchus,Xiphorhynchus lachrymosus,Black-stripedWoodcreeper,54
Tityridae,Pachyramphus,Pachyramphus versicolor,BarredBecard,54
Passerellidae,Atlapetes,Atlapetes albinucha,White-napedBrushfinch,55
Thamnophilidae,Gymnopithys,Gymnopithys leucaspis,White-cheekedAntbird,55
Thraupidae,Stilpnia,Stilpnia larvata,Golden-hoodedTanager,55
Icteridae,Leistes,Leistes militaris,Red-breastedBlackbird,55
Grallaridae,Grallaricula,Grallaricula ferrugineipectus,Rusty-breastedAntpitta,55
Grallaridae,Hylopezus,Hylopezus macularius,SpottedAntpitta,55
Cotingidae,Perissocephalus,Perissocephalus tricolor,Capuchinbird,56
Furnariidae,Xiphorhynchus,Xiphorhynchus pardalotus,Chestnut-rumpedWoodcreeper,56
Thraupidae,Ramphocelus,Ramphocelus dimidiatus,Crimson-backedTanager,56
Furnariidae,Philydor,Philydor pyrrhodes,Cinnamon-rumpedFoliage-gleaner,57
Conopophagidae,Conopophaga,Conopophaga aurita,Chestnut-beltedGnateater,57
Tyrannidae,Hemitriccus,Hemitriccus iohannis,Johannes'sTody-Tyrant,57
Thraupidae,Stilpnia,Stilpnia cyanicollis,Blue-neckedTanager,57
Thraupidae,Stilpnia,Stilpnia heinei,Black-cappedTanager,57
Fringilidae,Euphonia,Euphonia rufiventris,Rufous-belliedEuphonia,57
Tyrannidae,Pseudotriccus,Pseudotriccus pelzelni,Bronze-olivePygmyTyrant,57
Furnariidae,Margarornis,Margarornis squamiger,PearledTreerunner,57
Thamnophilidae,Thamnistes,Thamnistes anabatinus,RussetAntshrike,58
Furnariidae,Dendrocincla,Dendrocincla tyrannina,TyrannineWoodcreeper,58
Icteridae,Molothrus,Molothrus aeneus,BronzedCowbird,58
Tyrannidae,Myiotheretes,Myiotheretes striaticollis,Streak-throatedBushTyrant,58
Melanopareiidae,Melanopareia,Melanopareia elegans,ElegantCrescentchest,58
Thraupidae,Sporathraupis,Sporathraupis cyanocephala,Blue-cappedTanager,59
Fringilidae,Chlorophonia,Chlorophonia pyrrhophrys,Chestnut-breastedChlorophonia,59
Thraupidae,Geospizopsis,Geospizopsis plebejus,Ash-breastedSierraFinch,59
Troglodytidae,Microcerculus,Microcerculus bambla,Wing-bandedWren,59
Thamnophilidae,Phaenostictus,Phaenostictus mcleannani,OcellatedAntbird,59
Tyrannidae,Oncostoma,Oncostoma cinereigulare,NorthernBentbill,59
Tyrannidae,Myiarchus,Myiarchus cephalotes,Pale-edgedFlycatcher,59
Thamnophilidae,Myrmotherula,Myrmotherula pacifica,PacificAntwren,60
Thamnophilidae,Frederickena,Frederickena fulva,FulvousAntshrike,60
Grallaridae,Grallaria,Grallaria rufula,MuiscaAntpitta,60
Thraupidae,Sporophila,Sporophila corvina,VariableSeedeater,60
Icteridae,Cacicus,Cacicus chrysonotus,SouthernMountainCacique,60
Furnariidae,Cranioleuca,Cranioleuca gutturata,SpeckledSpinetail,61
Furnariidae,Sclerurus,Sclerurus rufigularis,Short-billedLeaftosser,61
Tyrannidae,Myiotheretes,Myiotheretes fumigatus,SmokyBushTyrant,61
Vireonidae,Pachysylvia,Pachysylvia muscicapina,Buff-cheekedGreenlet,61
Thamnophilidae,Sciaphylax,Sciaphylax castanea,NorthernChestnut-tailedAntbird,61
Tyrannidae,Zimmerius,Zimmerius albigularis,ChocoTyrannulet,61
Tyrannidae,Hemitriccus,Hemitriccus minimus,Zimmer'sTody-Tyrant,61
Tityridae,Schiffornis,Schiffornis major,VarzeaSchiffornis,61
Tyrannidae,Conopias,Conopias trivirgatus,Three-stripedFlycatcher,61
Furnariidae,Thripadectes,Thripadectes melanorhynchus,Black-billedTreehunter,61
Thraupidae,Tachyphonus,Tachyphonus delatrii,Tawny-crestedTanager,61
Tyrannidae,Atalotriccus,Atalotriccus pilaris,Pale-eyedPygmyTyrant,61
Tyrannidae,Zimmerius,Zimmerius gracilipes,Slender-footedTyrannulet,62
Icteridae,Psarocolius,Psarocolius bifasciatus,OliveOropendola,62
Icteridae,Cacicus,Cacicus uropygialis,SubtropicalCacique,62
Thamnophilidae,Dysithamnus,Dysithamnus puncticeps,Spot-crownedAntvireo,62
Tyrannidae,Poecilotriccus,Poecilotriccus ruficeps,Rufous-crownedTody-Flycatcher,62
Polioptilidae,Microbates,Microbates collaris,CollaredGnatwren,63
Passerellidae,Chlorospingus,Chlorospingus semifuscus,DuskyBushTanager,63
Tyrannidae,Ramphotrigon,Ramphotrigon fuscicauda,Dusky-tailedFlatbill,63
Thraupidae,Thlypopsis,Thlypopsis sordida,Orange-headedTanager,63
Tyrannidae,Sublegatus,Sublegatus modestus,SouthernScrubFlycatcher,63
Thraupidae,Chlorophanes,Chlorophanes spiza,GreenHoneycreeper,63
Thraupidae,Stilpnia,Stilpnia vitriolina,ScrubTanager,63
Furnariidae,Asthenes,Asthenes flammulata,Many-stripedCanastero,63
Mitrospingidae,Lamprospiza,Lamprospiza melanoleuca,Red-billedPiedTanager,63
Thamnophilidae,Sipia,Sipia nigricauda,EsmeraldasAntbird,63
Thamnophilidae,Myrmotherula,Myrmotherula schisticolor,SlatyAntwren,63
Thraupidae,Loriotus,Loriotus luctuosus,White-shoulderedTanager,64
Vireonidae,Vireo,Vireo philadelphicus,PhiladelphiaVireo,64
Thraupidae,Tangara,Tangara gyrola,Bay-headedTanager,64
Thraupidae,Haplospiza,Haplospiza rustica,SlatyFinch,64
Tyrannidae,Todirostrum,Todirostrum maculatum,SpottedTody-Flycatcher,64
Tyrannidae,Conopias,Conopias parvus,Yellow-throatedFlycatcher,64
Corvidae,Cyanolyca,Cyanolyca pulchra,BeautifulJay,65
Thraupidae,Melanospiza,Melanospiza bicolor,Black-facedGrassquit,65
Grallaridae,Grallaria,Grallaria kaestneri,CundinamarcaAntpitta,65
Furnariidae,Dendrocolaptes,Dendrocolaptes sanctithomae,NorthernBarredWoodcreeper,65
Thraupidae,Tangara,Tangara arthus,GoldenTanager,67
Cotingidae,Pipreola,Pipreola arcuata,BarredFruiteater,67
Troglodytidae,Thryophilus,Thryophilus sernai,AntioquiaWren,67
Tyrannidae,Elaenia,Elaenia pallatangae,SierranElaenia,67
Icteridae,Molothrus,Molothrus oryzivorus,GiantCowbird,67
Tyrannidae,Myiophobus,Myiophobus flavicans,FlavescentFlycatcher,67
Furnariidae,Berlepschia,Berlepschia rikeri,Point-tailedPalmcreeper,68
Fringilidae,Euphonia,Euphonia mesochrysa,Bronze-greenEuphonia,68
Thamnophilidae,Myrmotherula,Myrmotherula ignota,MoustachedAntwren,68
Thraupidae,Anisognathus,Anisognathus somptuosus,Blue-wingedMountainTanager,68
Tyrannidae,Todirostrum,Todirostrum chrysocrotaphum,Yellow-browedTody-Flycatcher,69
Thraupidae,Sporophila,Sporophila schistacea,Slate-coloredSeedeater,69
Thamnophilidae,Rhegmatorhina,Rhegmatorhina melanosticta,Hairy-crestedAntbird,69
Thamnophilidae,Hypocnemoides,Hypocnemoides melanopogon,Black-chinnedAntbird,69
Icteridae,Icterus,Icterus mesomelas,Yellow-tailedOriole,69
Rhinocryptidae,Scytalopus,Scytalopus chocoensis,ChocoTapaculo,70
Furnariidae,Furnarius,Furnarius leucopus,Pale-leggedHornero,70
Icteridae,Icterus,Icterus cayanensis,EpauletOriole,70
Pipridae,Machaeropterus,Machaeropterus deliciosus,Club-wingedManakin,70
Thamnophilidae,Thamnophilus,Thamnophilus tenuepunctatus,LinedAntshrike,70
Icteridae,Hypopyrrhus,Hypopyrrhus pyrohypogaster,Red-belliedGrackle,71
Grallaridae,Grallaria,Grallaria haplonota,Plain-backedAntpitta,71
Icteridae,Leistes,Leistes bellicosus,PeruvianMeadowlark,71
Furnariidae,Campylorhamphus,Campylorhamphus procurvoides,Curve-billedScythebill,72
Formicariidae,Formicarius,Formicarius nigricapillus,Black-headedAntthrush,72
Thraupidae,Sicalis,Sicalis citrina,Stripe-tailedYellowFinch,72
Vireonidae,Vireo,Vireo altiloquus,Black-whiskeredVireo,72
Tyrannidae,Pseudotriccus,Pseudotriccus ruficeps,Rufous-headedPygmyTyrant,72
Thraupidae,Asemospiza,Asemospiza obscura,Dull-coloredGrassquit,72
Tyrannidae,Hemitriccus,Hemitriccus zosterops,White-eyedTody-Tyrant,72
Thraupidae,Coryphospingus,Coryphospingus pileatus,GreyPileatedFinch,73
Thraupidae,Lanio,Lanio fulvus,FulvousShrike-Tanager,73
Tyrannidae,Myiornis,Myiornis atricapillus,Black-cappedPygmyTyrant,73
Furnariidae,Anabacerthia,Anabacerthia variegaticeps,Scaly-throatedFoliage-gleaner,73
Thamnophilidae,Herpsilochmus,Herpsilochmus dorsimaculatus,Spot-backedAntwren,74
Thraupidae,Sporophila,Sporophila minuta,Ruddy-breastedSeedeater,74
Thraupidae,Loriotus,Loriotus cristatus,Flame-crestedTanager,74
Furnariidae,Cranioleuca,Cranioleuca curtata,Ash-browedSpinetail,74
Tyrannidae,Elaenia,Elaenia cristata,Plain-crestedElaenia,74
Vireonidae,Hylophilus,Hylophilus semicinereus,Grey-chestedGreenlet,74
Vireonidae,Pachysylvia,Pachysylvia semibrunnea,Rufous-napedGreenlet,75
Tyrannidae,Fluvicola,Fluvicola nengeta,MaskedWaterTyrant,75
Icteridae,Macroagelaius,Macroagelaius subalaris,ColombianMountainGrackle,75
Furnariidae,Synallaxis,Synallaxis cinnamomea,Stripe-breastedSpinetail,75
Troglodytidae,Henicorhina,Henicorhina negreti,MunchiqueWoodWren,75
Furnariidae,Sclerurus,Sclerurus caudacutus,Black-tailedLeaftosser,75
Furnariidae,Nasica,Nasica longirostris,Long-billedWoodcreeper,75
Icteridae,Icterus,Icterus nigrogularis,YellowOriole,76
Thamnophilidae,Cercomacroides,Cercomacroides fuscicauda,RiparianAntbird,76
Tyrannidae,Myiozetetes,Myiozetetes luteiventris,Dusky-chestedFlycatcher,76
Icteridae,Icterus,Icterus croconotus,Orange-backedTroupial,77
Thamnophilidae,Cercomacroides,Cercomacroides parkeri,Parker'sAntbird,77
Tyrannidae,Rhynchocyclus,Rhynchocyclus olivaceus,OlivaceousFlatbill,77
Troglodytidae,Pheugopedius,Pheugopedius spadix,Sooty-headedWren,77
Thraupidae,Anisognathus,Anisognathus lacrymosus,LacrimoseMountainTanager,77
Tyrannidae,Tyrannus,Tyrannus savana,Fork-tailedFlycatcher,78
Hirundinidae,Stelgidopteryx,Stelgidopteryx serripennis,NorthernRough-wingedSwallow,78
Thraupidae,Tachyphonus,Tachyphonus rufus,White-linedTanager,78
Furnariidae,Xiphorhynchus,Xiphorhynchus erythropygius,SpottedWoodcreeper,79
Onychorhynchidae,Terenotriccus,Terenotriccus erythrurus,Ruddy-tailedFlycatcher,79
Furnariidae,Lepidocolaptes,Lepidocolaptes lacrymiger,MontaneWoodcreeper,79
Thamnophilidae,Gymnopithys,Gymnopithys bicolor,BicoloredAntbird,80
Thraupidae,Cissopis,Cissopis leverianus,MagpieTanager,80
Thamnophilidae,Dichrozona,Dichrozona cincta,BandedAntbird,80
Cotingidae,Procnias,Procnias averano,BeardedBellbird,80
Grallaridae,Grallaria,Grallaria bangsi,SantaMartaAntpitta,80
Cotingidae,Lipaugus,Lipaugus unirufus,RufousPiha,80
Tyrannidae,Hemitriccus,Hemitriccus granadensis,Black-throatedTody-Tyrant,80
Icteridae,Psarocolius,Psarocolius wagleri,Chestnut-headedOropendola,80
Furnariidae,Xiphorhynchus,Xiphorhynchus obsoletus,StripedWoodcreeper,81
Thamnophilidae,Epinecrophylla,Epinecrophylla haematonota,Rufous-backedStipplethroat,81
Tyrannidae,Poecilotriccus,Poecilotriccus capitalis,Black-and-whiteTody-Flycatcher,81
Rhinocryptidae,Scytalopus,Scytalopus micropterus,Long-tailedTapaculo,81
Tyrannidae,Lophotriccus,Lophotriccus vitiosus,Double-bandedPygmyTyrant,82
Tityridae,Tityra,Tityra cayana,Black-tailedTityra,82
Motacillidae,Anthus,Anthus lutescens,YellowishPipit,83
Thraupidae,Chlorornis,Chlorornis riefferii,Grass-greenTanager,84
Tityridae,Pachyramphus,Pachyramphus cinnamomeus,CinnamonBecard,84
Tyrannidae,Hemitriccus,Hemitriccus striaticollis,Stripe-neckedTody-Tyrant,84
Furnariidae,Sclerurus,Sclerurus albigularis,Grey-throatedLeaftosser,84
Thraupidae,Stilpnia,Stilpnia cayana,Burnished-buffTanager,84
Tyrannidae,Tyrannus,Tyrannus dominicensis,GreyKingbird,84
Furnariidae,Hellmayrea,Hellmayrea gularis,White-browedSpinetail,85
Tyrannidae,Tyrannopsis,Tyrannopsis sulphurea,SulphuryFlycatcher,85
Thamnophilidae,Hylophylax,Hylophylax naevioides,SpottedAntbird,85
Tyrannidae,Tyrannulus,Tyrannulus elatus,Yellow-crownedTyrannulet,86
Thraupidae,Diglossa,Diglossa caerulescens,BluishFlowerpiercer,86
Furnariidae,Synallaxis,Synallaxis albigularis,Dark-breastedSpinetail,86
Furnariidae,Anabacerthia,Anabacerthia striaticollis,MontaneFoliage-gleaner,87
Grallaridae,Grallaria,Grallaria flavotincta,Yellow-breastedAntpitta,87
Thraupidae,Diglossa,Diglossa lafresnayii,GlossyFlowerpiercer,87
Thraupidae,Sporophila,Sporophila luctuosa,Black-and-whiteSeedeater,87
Icteridae,Quiscalus,Quiscalus lugubris,CaribGrackle,87
Thraupidae,Saltator,Saltator atripennis,Black-wingedSaltator,87
Icteridae,Chrysomus,Chrysomus icterocephalus,Yellow-hoodedBlackbird,88
Thraupidae,Cyanerpes,Cyanerpes cyaneus,Red-leggedHoneycreeper,88
Corvidae,Cyanolyca,Cyanolyca turcosa,TurquoiseJay,88
Grallaridae,Hylopezus,Hylopezus perspicillatus,Streak-chestedAntpitta,90
Tyrannidae,Leptopogon,Leptopogon rufipectus,Rufous-breastedFlycatcher,90
Thamnophilidae,Hypocnemis,Hypocnemis hypoxantha,Yellow-browedAntbird,90
Pipridae,Ceratopipra,Ceratopipra mentalis,Red-cappedManakin,90
Fringilidae,Chlorophonia,Chlorophonia cyanea,Blue-napedChlorophonia,90
Thamnophilidae,Epinecrophylla,Epinecrophylla fulviventris,Checker-throatedStipplethroat,90
Furnariidae,Deconychura,Deconychura longicauda,Long-tailedWoodcreeper,91
Tyrannidae,Elaenia,Elaenia albiceps,White-crestedElaenia,91
Thraupidae,Buthraupis,Buthraupis montana,HoodedMountainTanager,91
Tyrannidae,Attila,Attila bolivianus,White-eyedAttila,91
Tityridae,Pachyramphus,Pachyramphus marginatus,Black-cappedBecard,91
Thamnophilidae,Thamnophilus,Thamnophilus multistriatus,Bar-crestedAntshrike,92
Furnariidae,Xiphorhynchus,Xiphorhynchus elegans,ElegantWoodcreeper,92
Icteridae,Amblycercus,Amblycercus holosericeus,Yellow-billedCacique,92
Thamnophilidae,Cercomacra,Cercomacra nigricans,JetAntbird,92
Tyrannidae,Mecocerculus,Mecocerculus stictopterus,White-bandedTyrannulet,92
Furnariidae,Thripadectes,Thripadectes holostictus,StripedTreehunter,92
Pipridae,Chiroxiphia,Chiroxiphia lanceolata,Lance-tailedManakin,93
Tityridae,Schiffornis,Schiffornis veraepacis,NorthernSchiffornis,93
Furnariidae,Campylorhamphus,Campylorhamphus pusillus,Brown-billedScythebill,93
Grallaridae,Grallaria,Grallaria squamigera,UndulatedAntpitta,94
Tyrannidae,Mitrephanes,Mitrephanes phaeocercus,NorthernTuftedFlycatcher,94
Thraupidae,Nemosia,Nemosia pileata,HoodedTanager,94
Thamnophilidae,Myrmelastes,Myrmelastes hyperythrus,PlumbeousAntbird,94
Tyrannidae,Ochthoeca,Ochthoeca cinnamomeiventris,Slaty-backedChat-Tyrant,95
Tyrannidae,Cnipodectes,Cnipodectes subbrunneus,BrownishTwistwing,95
Thamnophilidae,Myrmotherula,Myrmotherula longipennis,Long-wingedAntwren,95
Thraupidae,Asemospiza,Asemospiza fuliginosa,SootyGrassquit,96
Tyrannidae,Poecilotriccus,Poecilotriccus sylvia,Slaty-headedTody-Flycatcher,96
Rhinocryptidae,Myornis,Myornis senilis,Ash-coloredTapaculo,96
Tyrannidae,Anairetes,Anairetes parulus,TuftedTit-Tyrant,96
Tyrannidae,Myiornis,Myiornis ecaudatus,Short-tailedPygmyTyrant,96
Troglodytidae,Thryophilus,Thryophilus nicefori,Niceforo'sWren,96
Tyrannidae,Phyllomyias,Phyllomyias burmeisteri,Rough-leggedTyrannulet,96
Rhinocryptidae,Scytalopus,Scytalopus opacus,ParamoTapaculo,96
Thamnophilidae,Pyriglena,Pyriglena leuconota,EastAmazonianFire-eye,96
Tyrannidae,Empidonomus,Empidonomus varius,VariegatedFlycatcher,97
Passerellidae,Atlapetes,Atlapetes pallidinucha,Pale-napedBrushfinch,97
Pipridae,Neopelma,Neopelma chrysocephalum,Saffron-crestedTyrant-Manakin,98
Thraupidae,Thlypopsis,Thlypopsis superciliaris,SuperciliariedHemispingus,98
Icteridae,Dives,Dives warczewiczi,ScrubBlackbird,98
Thraupidae,Sporophila,Sporophila lineola,LinedSeedeater,98
Tyrannidae,Poecilotriccus,Poecilotriccus latirostris,Rusty-frontedTody-Flycatcher,99
Formicariidae,Formicarius,Formicarius rufipectus,Rufous-breastedAntthrush,99
Furnariidae,Cranioleuca,Cranioleuca erythrops,Red-facedSpinetail,99
Tyrannidae,Attila,Attila citriniventris,Citron-belliedAttila,99
Troglodytidae,Campylorhynchus,Campylorhynchus griseus,BicoloredWren,99
Furnariidae,Cranioleuca,Cranioleuca vulpina,Rusty-backedSpinetail,99
Furnariidae,Asthenes,Asthenes fuliginosa,White-chinnedThistletail,100
Furnariidae,Automolus,Automolus subulatus,EasternWoodhaunter,100
Tyrannidae,Corythopis,Corythopis torquatus,RingedAntpipit,100
Hirundinidae,Tachycineta,Tachycineta thalassina,Violet-greenSwallow,100
Tityridae,Pachyramphus,Pachyramphus viridis,Green-backedBecard,100
Tyrannidae,Platyrinchus,Platyrinchus coronatus,Golden-crownedSpadebill,101
Furnariidae,Thripadectes,Thripadectes virgaticeps,Streak-cappedTreehunter,101
Corvidae,Cyanolyca,Cyanolyca armillata,Black-collaredJay,102
Thamnophilidae,Hylophylax,Hylophylax punctulatus,Dot-backedAntbird,102
Thraupidae,Sericossypha,Sericossypha albocristata,White-cappedTanager,102
Thamnophilidae,Epinecrophylla,Epinecrophylla ornata,OrnateStipplethroat,103
Thraupidae,Tangara,Tangara chilensis,ParadiseTanager,103
Furnariidae,Synallaxis,Synallaxis rutilans,RuddySpinetail,104
Tyrannidae,Platyrinchus,Platyrinchus platyrhynchos,White-crestedSpadebill,104
Rhinocryptidae,Scytalopus,Scytalopus vicinior,NarinoTapaculo,104
Thraupidae,Diglossa,Diglossa albilatera,White-sidedFlowerpiercer,104
Polioptilidae,Microbates,Microbates cinereiventris,Tawny-facedGnatwren,105
Fringilidae,Chlorophonia,Chlorophonia cyanocephala,Golden-rumpedEuphonia,105
Tyrannidae,Leptopogon,Leptopogon superciliaris,Slaty-cappedFlycatcher,105
Thraupidae,Dacnis,Dacnis cayana,BlueDacnis,105
Tyrannidae,Phyllomyias,Phyllomyias griseiceps,Sooty-headedTyrannulet,105
Tityridae,Laniocera,Laniocera hypopyrra,CinereousMourner,105
Tyrannidae,Hirundinea,Hirundinea ferruginea,CliffFlycatcher,105
